id,ans
0,0
1,0
2,1
3,2
4,1
5,1
6,1
7,2
8,5
9,4
10,5
11,0
12,3
13,1
14,1
15,5
16,1
17,3
18,5
19,1
20,0
21,0
22,4
23,3
24,4
25,1
26,2
27,1
28,1
29,5
30,0
31,1
32,0
33,4
34,0
35,0
36,2
37,5
38,2
39,3
40,3
41,3
42,0
43,5
44,2
45,0
46,0
47,4
48,5
49,1
50,2
51,3
52,1
53,5
54,3
55,1
56,2
57,3
58,4
59,5
60,3
61,4
62,3
63,1
64,1
65,4
66,4
67,5
68,2
69,3
70,0
71,4
72,3
73,5
74,0
75,4
76,1
77,2
78,1
79,5
80,3
81,2
82,3
83,3
84,1
85,0
86,5
87,5
88,0
89,4
90,5
91,2
92,4
93,0
94,3
95,4
96,1
97,5
98,0
99,4
100,5
101,5
102,2
103,3
104,5
105,4
106,3
107,2
108,3
109,3
110,1
111,1
112,4
113,3
114,3
115,4
116,4
117,1
118,3
119,3
120,3
121,2
122,1
123,0
124,2
125,1
126,5
127,2
128,5
129,5
130,1
131,3
132,2
133,2
134,4
135,1
136,0
137,0
138,4
139,4
140,2
141,1
142,5
143,0
144,0
145,3
146,3
147,0
148,2
149,3
150,1
151,4
152,5
153,5
154,5
155,0
156,0
157,2
158,3
159,3
160,4
161,0
162,0
163,3
164,0
165,2
166,0
167,2
168,1
169,3
170,0
171,0
172,5
173,1
174,4
175,4
176,2
177,0
178,0
179,3
180,0
181,0
182,2
183,4
184,5
185,5
186,2
187,2
188,2
189,5
190,0
191,3
192,4
193,2
194,0
195,2
196,1
197,2
198,0
199,3
200,4
201,4
202,4
203,1
204,5
205,4
206,0
207,5
208,4
209,1
210,5
211,2
212,0
213,3
214,2
215,0
216,4
217,4
218,0
219,1
220,0
221,2
222,1
223,0
224,0
225,5
226,4
227,0
228,5
229,4
230,3
231,0
232,1
233,4
234,0
235,4
236,5
237,1
238,1
239,1
240,1
241,2
242,3
243,4
244,0
245,3
246,1
247,2
248,0
249,5
250,3
251,1
252,5
253,3
254,1
255,2
256,2
257,1
258,3
259,2
260,0
261,2
262,4
263,0
264,2
265,0
266,3
267,2
268,5
269,3
270,3
271,5
272,4
273,5
274,3
275,5
276,1
277,1
278,2
279,4
280,5
281,2
282,3
283,2
284,0
285,2
286,0
287,4
288,4
289,3
290,3
291,0
292,0
293,1
294,3
295,2
296,4
297,4
298,5
299,2
300,0
301,3
302,4
303,0
304,2
305,1
306,1
307,4
308,0
309,0
310,1
311,1
312,0
313,5
314,5
315,2
316,0
317,1
318,4
319,1
320,4
321,0
322,1
323,3
324,0
325,0
326,1
327,0
328,3
329,1
330,3
331,2
332,3
333,1
334,0
335,2
336,5
337,4
338,4
339,1
340,1
341,0
342,3
343,5
344,3
345,5
346,0
347,3
348,1
349,5
350,1
351,2
352,2
353,5
354,4
355,3
356,3
357,4
358,1
359,1
360,3
361,4
362,3
363,2
364,5
365,1
366,4
367,2
368,3
369,4
370,5
371,4
372,5
373,3
374,5
375,5
376,3
377,2
378,0
379,2
380,4
381,0
382,5
383,4
384,5
385,5
386,5
387,2
388,5
389,3
390,2
391,3
392,3
393,1
394,3
395,0
396,2
397,4
398,4
399,5
400,1
401,5
402,0
403,1
404,1
405,2
406,4
407,4
408,1
409,5
410,1
411,4
412,4
413,1
414,5
415,4
416,1
417,1
418,0
419,1
420,3
421,4
422,1
423,2
424,5
425,0
426,3
427,1
428,3
429,0
430,3
431,5
432,4
433,3
434,1
435,4
436,1
437,2
438,2
439,1
440,4
441,3
442,0
443,5
444,1
445,3
446,1
447,1
448,0
449,5
450,4
451,2
452,5
453,1
454,5
455,1
456,2
457,3
458,0
459,1
460,3
461,2
462,1
463,3
464,4
465,3
466,1
467,4
468,1
469,2
470,2
471,1
472,5
473,2
474,2
475,1
476,2
477,1
478,2
479,4
480,4
481,0
482,0
483,3
484,4
485,1
486,0
487,3
488,1
489,3
490,0
491,2
492,3
493,3
494,3
495,3
496,4
497,0
498,1
499,0
500,5
501,2
502,3
503,0
504,3
505,0
506,0
507,5
508,3
509,5
510,3
511,2
512,4
513,0
514,0
515,0
516,4
517,5
518,1
519,0
520,0
521,3
522,3
523,4
524,3
525,1
526,5
527,5
528,2
529,3
530,1
531,1
532,1
